ID,Make,Model,Engine,Fuel,Driveline,Hybrid,City,Highway,Transmission,Year,Horsepower,Torque
2011 Chevrolet Express LS 2500,Chevrolet,2011 Chevrolet Express,Chevrolet 4.8L 8 Cylinder 280 hp 295 ft-lbs FFV,E85,Rear-wheel drive,True,8,12,Automatic transmission,2011,280,295
2011 Chevrolet Express LS 2500 6.0L,Chevrolet,2011 Chevrolet Express,Chevrolet 6.0L 8 Cylinder 324 hp 373 ft-lbs FFV,E85,Rear-wheel drive,True,8,12,Automatic transmission,2011,324,373
2010 Chevrolet Express LS 1500,Chevrolet,2010 Chevrolet Express,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,E85,Rear-wheel drive,True,10,13,Automatic transmission,2010,310,334
2010 Chevrolet Express LS 1500 AWD,Chevrolet,2010 Chevrolet Express,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,Gasoline,All-wheel drive,True,13,17,Automatic transmission,2010,310,334
2011 Chevrolet Silverado 1500 Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,Rear-wheel drive,True,15,20,Automatic transmission,2011,195,260
2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,Gasoline,Rear-wheel drive,True,14,19,Automatic transmission,2011,302,305
2011 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,Rear-wheel drive,True,15,20,Automatic transmission,2011,195,260
2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,Rear-wheel drive,True,15,20,Automatic transmission,2010,195,260
2010 Chevrolet Silverado 1500 Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,Gasoline,Rear-wheel drive,True,15,20,Automatic transmission,2010,195,260
2010 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,Gasoline,Rear-wheel drive,True,14,19,Automatic transmission,2010,302,305
2011 Nissan 370Z NISMO,Nissan,2011 Nissan 370Z Coupe,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,Rear-wheel drive,True,18,26,Manual transmission,2011,350,276
2010 Nissan 370Z NISMO,Nissan,2010 Nissan 370Z Coupe,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,Rear-wheel drive,True,18,26,Manual transmission,2010,350,276
2009 Nissan 370Z NISMO,Nissan,2009 Nissan 370Z Coupe,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,Gasoline,Rear-wheel drive,True,18,26,Manual transmission,2009,350,276
2011 Volvo C30 T5,Volvo,2011 Volvo C30,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,Front-wheel drive,True,21,29,Manual transmission,2011,227,236
2011 Volvo C30 T5 AT,Volvo,2011 Volvo C30,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,Front-wheel drive,True,21,30,Automatic transmission,2011,227,236
2010 Volvo C30 T5 AT,Volvo,2010 Volvo C30,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,Front-wheel drive,True,21,30,Automatic transmission,2010,227,236
2010 Volvo C30 T5,Volvo,2010 Volvo C30,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,Front-wheel drive,True,21,29,Manual transmission,2010,227,236
2010 Bentley Brooklands,Bentley,2010 Bentley Brooklands,Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo,Gasoline,Rear-wheel drive,True,9,15,Automatic transmission,2010,530,774
2012 Bentley Continental Supersports Convertible,Bentley,2012 Bentley Continental Supersports Convertible,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,All-wheel drive,True,8,14,Automatic transmission,2012,621,590
2012 Bentley Continental Supersports Coupe,Bentley,2012 Bentley Continental Supersports Coupe,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,All-wheel drive,True,8,14,Automatic transmission,2012,621,590
2011 Bentley Continental Supersports Convertible,Bentley,2011 Bentley Continental Supersports Convertible,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,E85,All-wheel drive,True,8,14,Automatic transmission,2011,621,590
2010 Bentley Continental Supersports,Bentley,2010 Bentley Continental Supersports,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,Gasoline,All-wheel drive,True,12,19,Automatic transmission,2010,621,590
2012 Bentley Continental Flying Spur,Bentley,2012 Bentley Continental Flying Spur,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,E85,All-wheel drive,True,8,13,Automatic transmission,2012,552,479
2012 Bentley Continental Flying Spur Speed,Bentley,2012 Bentley Continental Flying Spur,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,Gasoline,All-wheel drive,True,11,19,Automatic transmission,2012,600,553
2011 Bentley Continental Flying Spur Speed,Bentley,2011 Bentley Continental Flying Spur,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,Gasoline,All-wheel drive,True,10,17,Automatic transmission,2011,600,553
2010 Bentley Continental Flying Spur Speed,Bentley,2010 Bentley Continental Flying Spur,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,Gasoline,All-wheel drive,True,10,17,Automatic transmission,2010,600,553
2010 Bentley Continental Flying Spur,Bentley,2010 Bentley Continental Flying Spur,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,Gasoline,All-wheel drive,True,10,17,Automatic transmission,2010,552,479
2011 Volvo C70 T5,Volvo,2011 Volvo C70,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,Front-wheel drive,True,19,28,Automatic transmission,2011,227,236
2010 Volvo C70 T5,Volvo,2010 Volvo C70,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,Front-wheel drive,True,20,28,Manual transmission,2010,227,236
2010 Volvo C70 T5 AT,Volvo,2010 Volvo C70,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,Front-wheel drive,True,19,28,Automatic transmission,2010,227,236
2010 Volvo S40 2.4i,Volvo,2010 Volvo S40,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,Gasoline,Front-wheel drive,True,21,29,Manual transmission,2010,168,170
2010 Volvo S40 R-Design,Volvo,2010 Volvo S40,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,Front-wheel drive,True,21,30,Automatic transmission,2010,227,236
2011 Volvo S40 T5,Volvo,2011 Volvo S40,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,Front-wheel drive,True,21,30,Automatic transmission,2011,227,236
2010 Volvo S40 R-Design AWD,Volvo,2010 Volvo S40,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,All-wheel drive,True,20,27,Manual transmission,2010,227,236
2012 Volvo S60 T5,Volvo,2012 Volvo S60,Volvo 2.5L 5 Cylinder 250 hp 266 ft-lbs Turbo,Gasoline,Front-wheel drive,True,20,30,Automatic transmission,2012,250,266
2012 Volvo S60 T6 AWD,Volvo,2012 Volvo S60,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,All-wheel drive,True,18,26,Automatic transmission,2012,300,325
2012 Volvo S60 R-Design,Volvo,2012 Volvo S60,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,Gasoline,All-wheel drive,True,18,26,Automatic transmission,2012,325,354
2011 Volvo S60 T6 AWD,Volvo,2011 Volvo S60,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,All-wheel drive,True,18,26,Automatic transmission,2011,300,325
2011 Volvo S80 3.2,Volvo,2011 Volvo S80,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,Front-wheel drive,True,19,27,Automatic transmission,2011,240,236
2010 Volvo S80 V8,Volvo,2010 Volvo S80,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,Gasoline,All-wheel drive,True,15,22,Automatic transmission,2010,311,325
2010 Volvo S80 T6 AWD,Volvo,2010 Volvo S80,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,Gasoline,All-wheel drive,True,16,24,Automatic transmission,2010,281,295
2010 Volvo S80 3.2,Volvo,2010 Volvo S80,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,Front-wheel drive,True,18,27,Automatic transmission,2010,235,236
2011 Volvo V50 T5,Volvo,2011 Volvo V50,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,Front-wheel drive,True,21,30,Automatic transmission,2011,227,236
2010 Volvo V50 R-Design,Volvo,2010 Volvo V50,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,Gasoline,All-wheel drive,True,20,26,Manual transmission,2010,227,236
2010 Volvo V50 2.4i,Volvo,2010 Volvo V50,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,Gasoline,Front-wheel drive,True,20,31,Automatic transmission,2010,168,170
2011 Volvo XC60 T6 AWD,Volvo,2011 Volvo XC60,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,All-wheel drive,True,17,22,Automatic transmission,2011,300,325
2011 Volvo XC60 3.2,Volvo,2011 Volvo XC60,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,Front-wheel drive,True,18,25,Automatic transmission,2011,240,236
2010 Volvo XC60 T6 AWD,Volvo,2010 Volvo XC60,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,Gasoline,All-wheel drive,True,16,21,Automatic transmission,2010,281,295
2010 Volvo XC60 3.2,Volvo,2010 Volvo XC60,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,Front-wheel drive,True,18,27,Automatic transmission,2010,235,236
2011 Volvo XC70 3.2,Volvo,2011 Volvo XC70,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,Front-wheel drive,True,18,25,Automatic transmission,2011,240,236
2011 Volvo XC70 T6 AWD,Volvo,2011 Volvo XC70,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,Gasoline,All-wheel drive,True,17,22,Automatic transmission,2011,300,325
2010 Volvo XC70 T6 AWD,Volvo,2010 Volvo XC70,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,Gasoline,All-wheel drive,True,16,21,Automatic transmission,2010,281,295
2010 Volvo XC70 3.2,Volvo,2010 Volvo XC70,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,All-wheel drive,True,16,22,Automatic transmission,2010,235,236
2011 Toyota 4Runner SR5,Toyota,2011 Toyota 4Runner,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,Rear-wheel drive,True,17,23,Automatic transmission,2011,270,278
2011 Toyota 4Runner SR5 4WD,Toyota,2011 Toyota 4Runner,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,Four-wheel drive,True,17,22,Automatic transmission,2011,270,278
2011 Toyota 4Runner Trail,Toyota,2011 Toyota 4Runner,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,Four-wheel drive,True,17,22,Automatic transmission,2011,270,278
2011 Toyota 4Runner Limited,Toyota,2011 Toyota 4Runner,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,Rear-wheel drive,True,17,23,Automatic transmission,2011,270,278
2011 Toyota 4Runner  Limited 4WD,Toyota,2011 Toyota 4Runner,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,Four-wheel drive,True,17,22,Automatic transmission,2011,270,278
2011 Volvo XC90 3.2,Volvo,2011 Volvo XC90,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,Gasoline,Front-wheel drive,True,16,22,Automatic transmission,2011,240,236
2011 Volvo XC90 V8,Volvo,2011 Volvo XC90,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,Gasoline,All-wheel drive,True,14,21,Automatic transmission,2011,311,325
2010 Volvo XC90 3.2,Volvo,2010 Volvo XC90,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,Front-wheel drive,True,15,22,Automatic transmission,2010,235,236
2010 Volvo XC90 V8,Volvo,2010 Volvo XC90,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,Gasoline,All-wheel drive,True,13,19,Automatic transmission,2010,311,325
2010 Volvo V70 3.2,Volvo,2010 Volvo V70,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,Gasoline,Front-wheel drive,True,18,27,Automatic transmission,2010,235,236
2010 Toyota 4Runner SR5,Toyota,2010 Toyota 4Runner,Toyota 2.7L 4 Cylinder 157 hp 178 ft-lbs,Gasoline,Rear-wheel drive,True,18,23,Automatic transmission,2010,157,178
2010 Toyota 4Runner SR5 V6,Toyota,2010 Toyota 4Runner,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,Rear-wheel drive,True,17,23,Automatic transmission,2010,270,278
2010 Toyota 4Runner SR5 V6 4WD,Toyota,2010 Toyota 4Runner,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,Four-wheel drive,True,17,22,Automatic transmission,2010,270,278
2010 Toyota 4Runner Trail,Toyota,2010 Toyota 4Runner,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,Four-wheel drive,True,17,22,Automatic transmission,2010,270,278
2010 Toyota 4Runner Limited,Toyota,2010 Toyota 4Runner,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,Rear-wheel drive,True,17,23,Automatic transmission,2010,270,278
2010 Toyota 4Runner Limited 4WD,Toyota,2010 Toyota 4Runner,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,Gasoline,Four-wheel drive,True,17,22,Automatic transmission,2010,270,278
2012 Audi A3 2.0 T,Audi,2012 Audi A3,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,Front-wheel drive,True,21,30,Manual transmission,2012,200,207
2010 Honda Accord EX-L V-6 Coup,Honda,2010 Honda Accord Coupe,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,Gasoline,Front-wheel drive,True,17,25,Manual transmission,2010,271,251
2010 Honda Accord EX Coup AT,Honda,2010 Honda Accord Coupe,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,Front-wheel drive,True,21,31,Automatic transmission,2010,190,162
2010 Honda Accord EX-L Coup,Honda,2010 Honda Accord Coupe,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,Front-wheel drive,True,22,31,Manual transmission,2010,190,162
2010 Honda Accord EX-L Coup AT,Honda,2010 Honda Accord Coupe,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,Front-wheel drive,True,21,31,Automatic transmission,2010,190,162
2010 Honda Accord EX-L V-6 Coup AT,Honda,2010 Honda Accord Coupe,Honda 3.5L 6 Cylinder 271hp 251 ft-lbs,Gasoline,Front-wheel drive,True,19,28,Automatic transmission,2010,271,251
2010 Honda Accord EX Coup,Honda,2010 Honda Accord Coupe,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,Front-wheel drive,True,22,31,Manual transmission,2010,190,162
2010 Honda Accord LX-S Coup AT,Honda,2010 Honda Accord Coupe,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,Front-wheel drive,True,21,31,Automatic transmission,2010,190,162
2010 Honda Accord LX-S Coup,Honda,2010 Honda Accord Coupe,Honda 2.4L 4 cylinder 190 hp 162 ft-lbs,Gasoline,Front-wheel drive,True,22,31,Manual transmission,2010,190,162
2011 Nissan 370Z Roadster,Nissan,2011 Nissan 370Z Roadster,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Manual transmission,2011,332,270
2011 Nissan 370Z Roadster AT,Nissan,2011 Nissan 370Z Roadster,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Automatic transmission,2011,332,270
2011 Nissan 370Z Touring Roadster,Nissan,2011 Nissan 370Z Roadster,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Manual transmission,2011,332,270
2011 Nissan 370Z Touring Roadster AT,Nissan,2011 Nissan 370Z Roadster,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Automatic transmission,2011,332,270
2010 Nissan 370Z Touring Roadster,Nissan,2010 Nissan 370Z Roadster,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Manual transmission,2010,332,270
2010 Nissan 370Z Roadster,Nissan,2010 Nissan 370Z Roadster,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Manual transmission,2010,332,270
2010 Nissan 370Z Roadster AT,Nissan,2010 Nissan 370Z Roadster,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Automatic transmission,2010,332,270
2010 Nissan 370Z Touring Roadster AT,Nissan,2010 Nissan 370Z Roadster,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,25,Automatic transmission,2010,332,270
2011 Audi A3 2.0 T,Audi,2011 Audi A3,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,Front-wheel drive,True,21,30,Manual transmission,2011,200,207
2011 Nissan 370Z Coupe,Nissan,2011 Nissan 370Z Coupe,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,26,Manual transmission,2011,332,270
2011 Nissan 370Z Touring Coupe,Nissan,2011 Nissan 370Z Coupe,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,26,Manual transmission,2011,332,270
2011 Nissan 370Z Touring Coupe AT,Nissan,2011 Nissan 370Z Coupe,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,19,26,Automatic transmission,2011,332,270
2011 Nissan 370Z Touring Coupe,Nissan,2011 Nissan 370Z Coupe,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,26,Manual transmission,2011,332,270
2010 Audi A3 2.0 T,Audi,2010 Audi A3,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,Front-wheel drive,True,21,30,Manual transmission,2010,200,207
2010 Nissan 370Z Touring Coupe AT,Nissan,2010 Nissan 370Z Coupe,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,19,26,Automatic transmission,2010,332,270
2010 Nissan 370Z Coupe,Nissan,2010 Nissan 370Z Coupe,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,26,Manual transmission,2010,332,270
2010 Nissan 370Z Touring Coupe,Nissan,2010 Nissan 370Z Coupe,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,18,26,Manual transmission,2010,332,270
2010 Nissan 370Z Coupe AT,Nissan,2010 Nissan 370Z Coupe,Nissan 3.7L 6 Cylinder 332 hp 270 ft-lbs,Gasoline,Rear-wheel drive,True,19,26,Automatic transmission,2010,332,270
2012 Audi A4 Sedan 2.0 T Quattro,Audi,2012 Audi A4 Sedan,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,Gasoline,All-wheel drive,True,21,31,Manual transmission,2012,211,258
2012 Audi A4 Sedan 2.0 T Quattro AT,Audi,2012 Audi A4 Sedan,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,Gasoline,All-wheel drive,True,21,29,Automatic transmission,2012,211,258
2011 Audi A4 Sedan 2.0 T Quattro,Audi,2011 Audi A4 Sedan,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,Gasoline,All-wheel drive,True,21,31,Manual transmission,2011,211,258
2011 Audi A4 Sedan 2.0 T Quattro AT,Audi,2011 Audi A4 Sedan,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,Gasoline,All-wheel drive,True,21,29,Automatic transmission,2011,211,258
2012 Ford Fiesta S Sedan,Ford,2012 Ford Fiesta Sedan,Ford 1.6L 4 Cylinder 120 hp 112 ft-lbs,Gasoline,Front-wheel drive,True,29,38,Manual transmission,2012,120,112
