ID;Make;Model;Fuel;Transmission;;Location
2010 Chevrolet Colorado Extended Cab Work Truck;Chevrolet;2010 Chevrolet Colorado;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Chevrolet Colorado Crew Cab LT1;Chevrolet;2010 Chevrolet Colorado;Gasoline;Automatic transmission;;IKEA Pallady
2012 Chevrolet Express LS 1500;Chevrolet;2012 Chevrolet Express;Gasoline;Automatic transmission;;Afi Cotroceni
2012 Chevrolet Express LS 1500 AWD;Chevrolet;2012 Chevrolet Express;E85;Automatic transmission;;University Square
2011 Chevrolet Express LS 1500;Chevrolet;2011 Chevrolet Express;Gasoline;Automatic transmission;;Baneasa Shopping City
2011 Chevrolet Express LS 1500 AWD;Chevrolet;2011 Chevrolet Express;Gasoline;Automatic transmission;;IKEA Pallady
2011 Chevrolet Express LS 2500;Chevrolet;2011 Chevrolet Express;E85;Automatic transmission;;Afi Cotroceni
2011 Chevrolet Express LS 2500 6.0L;Chevrolet;2011 Chevrolet Express;E85;Automatic transmission;;University Square
2010 Chevrolet Express LS 1500;Chevrolet;2010 Chevrolet Express;E85;Automatic transmission;;Baneasa Shopping City
2010 Chevrolet Express LS 1500 AWD;Chevrolet;2010 Chevrolet Express;Gasoline;Automatic transmission;;IKEA Pallady
2011 Chevrolet Silverado 1500 Work Truck;Chevrolet;2011 Chevrolet Silverado 1500;Gasoline;Automatic transmission;;Afi Cotroceni
2011 Chevrolet Silverado 1500 Crew Cab Work Truck;Chevrolet;2011 Chevrolet Silverado 1500;Gasoline;Automatic transmission;;University Square
2011 Chevrolet Silverado 1500 Extended Cab Work Truck;Chevrolet;2011 Chevrolet Silverado 1500;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Chevrolet Silverado 1500 Extended Cab Work Truck;Chevrolet;2010 Chevrolet Silverado 1500;Gasoline;Automatic transmission;;IKEA Pallady
2010 Chevrolet Silverado 1500 Work Truck;Chevrolet;2010 Chevrolet Silverado 1500;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Chevrolet Silverado 1500 Crew Cab Work Truck;Chevrolet;2010 Chevrolet Silverado 1500;Gasoline;Automatic transmission;;University Square
2011 Nissan 370Z NISMO;Nissan;2011 Nissan 370Z Coupe;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Nissan 370Z NISMO;Nissan;2010 Nissan 370Z Coupe;Gasoline;Manual transmission;;IKEA Pallady
2009 Nissan 370Z NISMO;Nissan;2009 Nissan 370Z Coupe;Gasoline;Manual transmission;;Afi Cotroceni
2011 Volvo C30 T5;Volvo;2011 Volvo C30;Gasoline;Manual transmission;;University Square
2011 Volvo C30 T5 AT;Volvo;2011 Volvo C30;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Volvo C30 T5 AT;Volvo;2010 Volvo C30;Gasoline;Automatic transmission;;IKEA Pallady
2010 Volvo C30 T5;Volvo;2010 Volvo C30;Gasoline;Manual transmission;;Afi Cotroceni
2010 Bentley Brooklands;Bentley;2010 Bentley Brooklands;Gasoline;Automatic transmission;;University Square
2012 Bentley Continental Supersports Convertible;Bentley;2012 Bentley Continental Supersports Convertible;E85;Automatic transmission;;Baneasa Shopping City
2012 Bentley Continental Supersports Coupe;Bentley;2012 Bentley Continental Supersports Coupe;E85;Automatic transmission;;IKEA Pallady
2011 Bentley Continental Supersports Convertible;Bentley;2011 Bentley Continental Supersports Convertible;E85;Automatic transmission;;Afi Cotroceni
2010 Bentley Continental Supersports;Bentley;2010 Bentley Continental Supersports;Gasoline;Automatic transmission;;University Square
2012 Bentley Continental Flying Spur;Bentley;2012 Bentley Continental Flying Spur;E85;Automatic transmission;;Baneasa Shopping City
2012 Bentley Continental Flying Spur Speed;Bentley;2012 Bentley Continental Flying Spur;Gasoline;Automatic transmission;;IKEA Pallady
2011 Bentley Continental Flying Spur Speed;Bentley;2011 Bentley Continental Flying Spur;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Bentley Continental Flying Spur Speed;Bentley;2010 Bentley Continental Flying Spur;Gasoline;Automatic transmission;;University Square
2010 Bentley Continental Flying Spur;Bentley;2010 Bentley Continental Flying Spur;Gasoline;Automatic transmission;;Baneasa Shopping City
2011 Volvo C70 T5;Volvo;2011 Volvo C70;Gasoline;Automatic transmission;;IKEA Pallady
2010 Volvo C70 T5;Volvo;2010 Volvo C70;Gasoline;Manual transmission;;Afi Cotroceni
2010 Volvo C70 T5 AT;Volvo;2010 Volvo C70;Gasoline;Automatic transmission;;University Square
2010 Volvo S40 2.4i;Volvo;2010 Volvo S40;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Volvo S40 R-Design;Volvo;2010 Volvo S40;Gasoline;Automatic transmission;;IKEA Pallady
2011 Volvo S40 T5;Volvo;2011 Volvo S40;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Volvo S40 R-Design AWD;Volvo;2010 Volvo S40;Gasoline;Manual transmission;;University Square
2012 Volvo S60 T5;Volvo;2012 Volvo S60;Gasoline;Automatic transmission;;Baneasa Shopping City
2012 Volvo S60 T6 AWD;Volvo;2012 Volvo S60;Gasoline;Automatic transmission;;IKEA Pallady
2012 Volvo S60 R-Design;Volvo;2012 Volvo S60;Gasoline;Automatic transmission;;Afi Cotroceni
2011 Volvo S60 T6 AWD;Volvo;2011 Volvo S60;Gasoline;Automatic transmission;;University Square
2011 Volvo S80 3.2;Volvo;2011 Volvo S80;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Volvo S80 V8;Volvo;2010 Volvo S80;Gasoline;Automatic transmission;;IKEA Pallady
2010 Volvo S80 T6 AWD;Volvo;2010 Volvo S80;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Volvo S80 3.2;Volvo;2010 Volvo S80;Gasoline;Automatic transmission;;University Square
2011 Volvo V50 T5;Volvo;2011 Volvo V50;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Volvo V50 R-Design;Volvo;2010 Volvo V50;Gasoline;Manual transmission;;IKEA Pallady
2010 Volvo V50 2.4i;Volvo;2010 Volvo V50;Gasoline;Automatic transmission;;Afi Cotroceni
2011 Volvo XC60 T6 AWD;Volvo;2011 Volvo XC60;Gasoline;Automatic transmission;;University Square
2011 Volvo XC60 3.2;Volvo;2011 Volvo XC60;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Volvo XC60 T6 AWD;Volvo;2010 Volvo XC60;Gasoline;Automatic transmission;;IKEA Pallady
2010 Volvo XC60 3.2;Volvo;2010 Volvo XC60;Gasoline;Automatic transmission;;Afi Cotroceni
2011 Volvo XC70 3.2;Volvo;2011 Volvo XC70;Gasoline;Automatic transmission;;University Square
2011 Volvo XC70 T6 AWD;Volvo;2011 Volvo XC70;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Volvo XC70 T6 AWD;Volvo;2010 Volvo XC70;Gasoline;Automatic transmission;;IKEA Pallady
2010 Volvo XC70 3.2;Volvo;2010 Volvo XC70;Gasoline;Automatic transmission;;Afi Cotroceni
2011 Toyota 4Runner SR5;Toyota;2011 Toyota 4Runner;Gasoline;Automatic transmission;;University Square
2011 Toyota 4Runner SR5 4WD;Toyota;2011 Toyota 4Runner;Gasoline;Automatic transmission;;Baneasa Shopping City
2011 Toyota 4Runner Trail;Toyota;2011 Toyota 4Runner;Gasoline;Automatic transmission;;IKEA Pallady
2011 Toyota 4Runner Limited;Toyota;2011 Toyota 4Runner;Gasoline;Automatic transmission;;Afi Cotroceni
2011 Toyota 4Runner  Limited 4WD;Toyota;2011 Toyota 4Runner;Gasoline;Automatic transmission;;University Square
2011 Volvo XC90 3.2;Volvo;2011 Volvo XC90;Gasoline;Automatic transmission;;Baneasa Shopping City
2011 Volvo XC90 V8;Volvo;2011 Volvo XC90;Gasoline;Automatic transmission;;IKEA Pallady
2010 Volvo XC90 3.2;Volvo;2010 Volvo XC90;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Volvo XC90 V8;Volvo;2010 Volvo XC90;Gasoline;Automatic transmission;;University Square
2010 Volvo V70 3.2;Volvo;2010 Volvo V70;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Toyota 4Runner SR5;Toyota;2010 Toyota 4Runner;Gasoline;Automatic transmission;;IKEA Pallady
2010 Toyota 4Runner SR5 V6;Toyota;2010 Toyota 4Runner;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Toyota 4Runner SR5 V6 4WD;Toyota;2010 Toyota 4Runner;Gasoline;Automatic transmission;;University Square
2010 Toyota 4Runner Trail;Toyota;2010 Toyota 4Runner;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Toyota 4Runner Limited;Toyota;2010 Toyota 4Runner;Gasoline;Automatic transmission;;IKEA Pallady
2010 Toyota 4Runner Limited 4WD;Toyota;2010 Toyota 4Runner;Gasoline;Automatic transmission;;Afi Cotroceni
2012 Audi A3 2.0 T;Audi;2012 Audi A3;Gasoline;Manual transmission;;University Square
2010 Honda Accord EX-L V-6 Coup;Honda;2010 Honda Accord Coupe;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Honda Accord EX Coup AT;Honda;2010 Honda Accord Coupe;Gasoline;Automatic transmission;;IKEA Pallady
2010 Honda Accord EX-L Coup;Honda;2010 Honda Accord Coupe;Gasoline;Manual transmission;;Afi Cotroceni
2010 Honda Accord EX-L Coup AT;Honda;2010 Honda Accord Coupe;Gasoline;Automatic transmission;;University Square
2010 Honda Accord EX-L V-6 Coup AT;Honda;2010 Honda Accord Coupe;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Honda Accord EX Coup;Honda;2010 Honda Accord Coupe;Gasoline;Manual transmission;;IKEA Pallady
2010 Honda Accord LX-S Coup AT;Honda;2010 Honda Accord Coupe;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Honda Accord LX-S Coup;Honda;2010 Honda Accord Coupe;Gasoline;Manual transmission;;University Square
2011 Nissan 370Z Roadster;Nissan;2011 Nissan 370Z Roadster;Gasoline;Manual transmission;;Baneasa Shopping City
2011 Nissan 370Z Roadster AT;Nissan;2011 Nissan 370Z Roadster;Gasoline;Automatic transmission;;IKEA Pallady
2011 Nissan 370Z Touring Roadster;Nissan;2011 Nissan 370Z Roadster;Gasoline;Manual transmission;;Afi Cotroceni
2011 Nissan 370Z Touring Roadster AT;Nissan;2011 Nissan 370Z Roadster;Gasoline;Automatic transmission;;University Square
2010 Nissan 370Z Touring Roadster;Nissan;2010 Nissan 370Z Roadster;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Nissan 370Z Roadster;Nissan;2010 Nissan 370Z Roadster;Gasoline;Manual transmission;;IKEA Pallady
2010 Nissan 370Z Roadster AT;Nissan;2010 Nissan 370Z Roadster;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Nissan 370Z Touring Roadster AT;Nissan;2010 Nissan 370Z Roadster;Gasoline;Automatic transmission;;University Square
2011 Audi A3 2.0 T;Audi;2011 Audi A3;Gasoline;Manual transmission;;Baneasa Shopping City
2011 Nissan 370Z Coupe;Nissan;2011 Nissan 370Z Coupe;Gasoline;Manual transmission;;IKEA Pallady
2011 Nissan 370Z Touring Coupe;Nissan;2011 Nissan 370Z Coupe;Gasoline;Manual transmission;;Afi Cotroceni
2011 Nissan 370Z Touring Coupe AT;Nissan;2011 Nissan 370Z Coupe;Gasoline;Automatic transmission;;University Square
2011 Nissan 370Z Touring Coupe;Nissan;2011 Nissan 370Z Coupe;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Audi A3 2.0 T;Audi;2010 Audi A3;Gasoline;Manual transmission;;IKEA Pallady
2010 Nissan 370Z Touring Coupe AT;Nissan;2010 Nissan 370Z Coupe;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Nissan 370Z Coupe;Nissan;2010 Nissan 370Z Coupe;Gasoline;Manual transmission;;University Square
2010 Nissan 370Z Touring Coupe;Nissan;2010 Nissan 370Z Coupe;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Nissan 370Z Coupe AT;Nissan;2010 Nissan 370Z Coupe;Gasoline;Automatic transmission;;IKEA Pallady
2012 Audi A4 Sedan 2.0 T Quattro;Audi;2012 Audi A4 Sedan;Gasoline;Manual transmission;;Afi Cotroceni
2012 Audi A4 Sedan 2.0 T Quattro AT;Audi;2012 Audi A4 Sedan;Gasoline;Automatic transmission;;University Square
2011 Audi A4 Sedan 2.0 T Quattro;Audi;2011 Audi A4 Sedan;Gasoline;Manual transmission;;Baneasa Shopping City
2011 Audi A4 Sedan 2.0 T Quattro AT;Audi;2011 Audi A4 Sedan;Gasoline;Automatic transmission;;IKEA Pallady
2012 Ford Fiesta S Sedan;Ford;2012 Ford Fiesta Sedan;Gasoline;Manual transmission;;Afi Cotroceni
2012 Ford Fiesta SE Sedan;Ford;2012 Ford Fiesta Sedan;Gasoline;Manual transmission;;University Square
2012 Ford Fiesta SEL Sedan;Ford;2012 Ford Fiesta Sedan;Gasoline;Manual transmission;;Baneasa Shopping City
2011 Ford Fiesta Sedan S;Ford;2011 Ford Fiesta Sedan;Gasoline;Manual transmission;;IKEA Pallady
2011 Ford Fiesta Sedan SE;Ford;2011 Ford Fiesta Sedan;Gasoline;Manual transmission;;Afi Cotroceni
2011 Ford Fiesta Sedan SEL;Ford;2011 Ford Fiesta Sedan;Gasoline;Manual transmission;;University Square
2011 Volvo C30 R-Design AT;Volvo;2011 Volvo C30;Gasoline;Automatic transmission;;Baneasa Shopping City
2011 Volvo C30 R-Design;Volvo;2011 Volvo C30;Gasoline;Manual transmission;;IKEA Pallady
2010 Volvo C30 R-Design AT;Volvo;2010 Volvo C30;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Volvo C30 R-Design;Volvo;2010 Volvo C30;Gasoline;Manual transmission;;University Square
2010 Audi A4 Sedan 2.0 T Quattro AT;Audi;2010 Audi A4 Sedan;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Audi A4 Sedan 2.0 T Quattro;Audi;2010 Audi A4 Sedan;Gasoline;Manual transmission;;IKEA Pallady
2010 Volvo S40 2.4i AT;Volvo;2010 Volvo S40;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Volvo S40 R-Design AT AWD;Volvo;2010 Volvo S40;Gasoline;Automatic transmission;;University Square
2012 Audi A4 Avant 2.0 T;Audi;2012 Audi A4 Avant;Gasoline;Automatic transmission;;Baneasa Shopping City
2011 Audi A4 Avant 2.0 T;Audi;2011 Audi A4 Avant;Gasoline;Automatic transmission;;IKEA Pallady
2010 Audi A4 Avant 2.0 T;Audi;2010 Audi A4 Avant;Gasoline;Automatic transmission;;Afi Cotroceni
2011 Honda Accord EX Coup;Honda;2011 Honda Accord Coup;Gasoline;Manual transmission;;University Square
2011 Honda Accord LX-S Coup AT;Honda;2011 Honda Accord Coup;Gasoline;Automatic transmission;;Baneasa Shopping City
2011 Honda Accord EX-L V-6 Coup;Honda;2011 Honda Accord Coup;Gasoline;Manual transmission;;IKEA Pallady
2011 Honda Accord LX-S Coup;Honda;2011 Honda Accord Coup;Gasoline;Manual transmission;;Afi Cotroceni
2011 Honda Accord EX-L V-6 Coup AT;Honda;2011 Honda Accord Coup;Gasoline;Automatic transmission;;University Square
2011 Honda Accord EX Coup AT;Honda;2011 Honda Accord Coup;Gasoline;Automatic transmission;;Baneasa Shopping City
2011 Honda Accord EX-L Coup;Honda;2011 Honda Accord Coup;Gasoline;Automatic transmission;;IKEA Pallady
2012 Ford Fiesta SE Hatchback;Ford;2012 Ford Fiesta Hatchback;Gasoline;Manual transmission;;Afi Cotroceni
2012 Ford Fiesta SES Hatchback;Ford;2012 Ford Fiesta Hatchback;Gasoline;Manual transmission;;University Square
2011 Ford Fiesta Hatchback SE;Ford;2011 Ford Fiesta Hatchback;Gasoline;Manual transmission;;Baneasa Shopping City
2011 Ford Fiesta Hatchback SES;Ford;2011 Ford Fiesta Hatchback;Gasoline;Manual transmission;;IKEA Pallady
2010 Honda Accord LX Sedan;Honda;2010 Honda Accord Sedan;Gasoline;Manual transmission;;Afi Cotroceni
2010 Honda Accord LX Sedan AT;Honda;2010 Honda Accord Sedan;Gasoline;Automatic transmission;;University Square
2010 Honda Accord LX-P Sedan;Honda;2010 Honda Accord Sedan;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Honda Accord LX-P Sedan AT;Honda;2010 Honda Accord Sedan;Gasoline;Automatic transmission;;IKEA Pallady
2010 Honda Accord EX Sedan;Honda;2010 Honda Accord Sedan;Gasoline;Manual transmission;;Afi Cotroceni
2010 Honda Accord EX Sedan AT;Honda;2010 Honda Accord Sedan;Gasoline;Automatic transmission;;University Square
2010 Honda Accord EX-L Sedan;Honda;2010 Honda Accord Sedan;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Honda Accord EX-L Sedan AT;Honda;2010 Honda Accord Sedan;Gasoline;Automatic transmission;;IKEA Pallady
2010 Honda Accord EX V-6 Sedan;Honda;2010 Honda Accord Sedan;Gasoline;Automatic transmission;;Afi Cotroceni
2011 Toyota Avalon;Toyota;2011 Toyota Avalon;Gasoline;Automatic transmission;;University Square
2011 Toyota Avalon Limited;Toyota;2011 Toyota Avalon;Gasoline;Automatic transmission;;Baneasa Shopping City
2009 Nissan 370Z Coupe AT;Nissan;2009 Nissan 370Z Coupe;Gasoline;Automatic transmission;;IKEA Pallady
2009 Nissan 370Z Touring Coupe AT;Nissan;2009 Nissan 370Z Coupe;Gasoline;Automatic transmission;;Afi Cotroceni
2009 Nissan 370Z Touring Coupe;Nissan;2009 Nissan 370Z Coupe;Gasoline;Manual transmission;;University Square
2009 Nissan 370Z Coupe;Nissan;2009 Nissan 370Z Coupe;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Toyota Avalon XL;Toyota;2010 Toyota Avalon;Gasoline;Automatic transmission;;IKEA Pallady
2010 Toyota Avalon XLS;Toyota;2010 Toyota Avalon;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Toyota Avalon Limited;Toyota;2010 Toyota Avalon;Gasoline;Automatic transmission;;University Square
2011 Toyota Camry;Toyota;2011 Toyota Camry;Gasoline;Manual transmission;;Baneasa Shopping City
2011 Toyota Camry AT;Toyota;2011 Toyota Camry;Gasoline;Automatic transmission;;IKEA Pallady
2011 Toyota Camry LE;Toyota;2011 Toyota Camry;Gasoline;Manual transmission;;Afi Cotroceni
2011 Toyota Camry LE AT;Toyota;2011 Toyota Camry;Gasoline;Automatic transmission;;University Square
2011 Toyota Camry LE V6;Toyota;2011 Toyota Camry;Gasoline;Automatic transmission;;Baneasa Shopping City
2011 Toyota Camry SE;Toyota;2011 Toyota Camry;Gasoline;Manual transmission;;IKEA Pallady
2011 Toyota Camry SE AT;Toyota;2011 Toyota Camry;Gasoline;Automatic transmission;;Afi Cotroceni
2011 Toyota Camry SE V6;Toyota;2011 Toyota Camry;Gasoline;Automatic transmission;;University Square
2011 Toyota Camry XLE;Toyota;2011 Toyota Camry;Gasoline;Automatic transmission;;Baneasa Shopping City
2011 Toyota Camry XLE V6;Toyota;2011 Toyota Camry;Gasoline;Automatic transmission;;IKEA Pallady
2012 Ford Focus S Sedan;Ford;2012 Ford Focus Sedan;Gasoline;Manual transmission;;Afi Cotroceni
2012 Ford Focus SE Sedan;Ford;2012 Ford Focus Sedan;Gasoline;Manual transmission;;University Square
2011 Ford Focus Sedan S;Ford;2011 Ford Focus Sedan;Gasoline;Manual transmission;;Baneasa Shopping City
2011 Ford Focus Sedan S AT;Ford;2011 Ford Focus Sedan;Gasoline;Automatic transmission;;IKEA Pallady
2011 Ford Focus Sedan SE;Ford;2011 Ford Focus Sedan;Gasoline;Manual transmission;;Afi Cotroceni
2011 Ford Focus Sedan SE AT;Ford;2011 Ford Focus Sedan;Gasoline;Automatic transmission;;University Square
2011 Ford Focus Sedan SES;Ford;2011 Ford Focus Sedan;Gasoline;Manual transmission;;Baneasa Shopping City
2011 Ford Focus Sedan SES AT;Ford;2011 Ford Focus Sedan;Gasoline;Automatic transmission;;IKEA Pallady
2011 Ford Focus Sedan SEL;Ford;2011 Ford Focus Sedan;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Ford Focus Sedan S;Ford;2010 Ford Focus Sedan;Gasoline;Manual transmission;;University Square
2010 Ford Focus Sedan S AT;Ford;2010 Ford Focus Sedan;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Ford Focus Sedan SE;Ford;2010 Ford Focus Sedan;Gasoline;Manual transmission;;IKEA Pallady
2010 Ford Focus Sedan SE AT;Ford;2010 Ford Focus Sedan;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Ford Focus Sedan SES;Ford;2010 Ford Focus Sedan;Gasoline;Manual transmission;;University Square
2010 Ford Focus Sedan SES AT;Ford;2010 Ford Focus Sedan;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Ford Focus Sedan SEL;Ford;2010 Ford Focus Sedan;Gasoline;Manual transmission;;IKEA Pallady
2010 Ford Focus Sedan SEL AT;Ford;2010 Ford Focus Sedan;Gasoline;Automatic transmission;;Afi Cotroceni
2011 Nissan Altima Coupe 2.5 S;Nissan;2011 Nissan Altima Coupe;Gasoline;Manual transmission;;University Square
2011 Nissan Altima Coupe 3.5 SR;Nissan;2011 Nissan Altima Coupe;Gasoline;Manual transmission;;Baneasa Shopping City
2012 Volvo S80 T6 AWD;Volvo;2012 Volvo S80;Gasoline;Automatic transmission;;IKEA Pallady
2012 Volvo S80 3.2;Volvo;2012 Volvo S80;Gasoline;Automatic transmission;;Afi Cotroceni
2012 Volvo XC60 T6 AWD R-Design;Volvo;2012 Volvo XC60;Gasoline;Automatic transmission;;University Square
2012 Volvo XC60 3.2;Volvo;2012 Volvo XC60;Gasoline;Automatic transmission;;Baneasa Shopping City
2012 Volvo XC60 T6 AWD;Volvo;2012 Volvo XC60;Gasoline;Automatic transmission;;IKEA Pallady
2012 Volvo XC70 T6 AWD;Volvo;2012 Volvo XC70;Gasoline;Automatic transmission;;Afi Cotroceni
2012 Volvo XC70 3.2;Volvo;2012 Volvo XC70;Gasoline;Automatic transmission;;University Square
2012 Volvo XC90 3.2;Volvo;2012 Volvo XC90;Gasoline;Automatic transmission;;Baneasa Shopping City
2012 Volvo XC90 3.2 R-Design;Volvo;2012 Volvo XC90;Gasoline;Automatic transmission;;IKEA Pallady
2010 Nissan Altima Coupe 2.5 S;Nissan;2010 Nissan Altima Coupe;Gasoline;Manual transmission;;Afi Cotroceni
2010 Nissan Altima Coupe 3.5 SR;Nissan;2010 Nissan Altima Coupe;Gasoline;Manual transmission;;University Square
2010 Toyota Camry;Toyota;2010 Toyota Camry;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Toyota Camry  AT;Toyota;2010 Toyota Camry;Gasoline;Automatic transmission;;IKEA Pallady
2010 Toyota Camry LE;Toyota;2010 Toyota Camry;Gasoline;Manual transmission;;Afi Cotroceni
2010 Toyota Camry LE AT;Toyota;2010 Toyota Camry;Gasoline;Automatic transmission;;University Square
2010 Toyota Camry LE V6;Toyota;2010 Toyota Camry;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Toyota Camry SE;Toyota;2010 Toyota Camry;Gasoline;Manual transmission;;IKEA Pallady
2010 Toyota Camry SE AT;Toyota;2010 Toyota Camry;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Toyota Camry SE V6;Toyota;2010 Toyota Camry;Gasoline;Automatic transmission;;University Square
2010 Toyota Camry XLE;Toyota;2010 Toyota Camry;Gasoline;Automatic transmission;;Baneasa Shopping City
2010 Toyota Camry XLE V6;Toyota;2010 Toyota Camry;Gasoline;Automatic transmission;;IKEA Pallady
2010 Volvo XC90  R-Design;Volvo;2010 Volvo XC90;Gasoline;Automatic transmission;;Afi Cotroceni
2011 Volvo XC90 R-Design;Volvo;2011 Volvo XC90;Gasoline;Automatic transmission;;University Square
2010 Volvo XC60 T6 R-Design;Volvo;2010 Volvo XC60;Gasoline;Automatic transmission;;Baneasa Shopping City
2011 Volvo XC60 T6 R-Design;Volvo;2011 Volvo XC60;Gasoline;Automatic transmission;;IKEA Pallady
2011 Volvo XC60 3.2 R-Design;Volvo;2011 Volvo XC60;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Volvo V50 R-Design AT;Volvo;2010 Volvo V50;Gasoline;Automatic transmission;;University Square
2011 Volvo V50 R-Design;Volvo;2011 Volvo V50;Gasoline;Automatic transmission;;Baneasa Shopping City
2012 Bentley Continental GT;Bentley;2012 Bentley Continental GT;E85;Automatic transmission;;IKEA Pallady
2010 Bentley Continental GT;Bentley;2010 Bentley Continental GT;Gasoline;Automatic transmission;;Afi Cotroceni
2010 Bentley Continental GT Speed;Bentley;2010 Bentley Continental GT;Gasoline;Automatic transmission;;University Square
2010 Ford Focus Coupe SE;Ford;2010 Ford Focus Coupe;Gasoline;Manual transmission;;Baneasa Shopping City
2010 Ford Focus Coupe SE AT;Ford;2010 Ford Focus Coupe;Gasoline;Automatic transmission;;IKEA Pallady
